Epoch number,number of human population,number of humans killed by zombie,number of humans starved to death,number of zombie population,number of zombies killed by humans
334,2163,7837,0,320,7552,
335,2155,7845,0,321,7559,
336,2154,7846,0,322,7559,
337,2113,7887,0,329,7593,
338,2097,7903,0,334,7604,
339,2077,7923,0,339,7619,
340,2069,7931,0,339,7627,
341,2058,7942,0,339,7638,
342,2050,7950,0,339,7646,
343,2045,7955,0,339,7651,
344,2043,7957,0,339,7653,
345,2040,7960,0,339,7656,
346,2037,7963,0,340,7658,
347,2033,7967,0,341,7661,
348,2029,7971,0,341,7665,
349,2017,7983,0,345,7673,
350,2007,7993,0,346,7682,
351,2004,7996,0,346,7685,
352,2004,7996,0,346,7685,
353,2004,7996,0,346,7685,
354,1993,8007,0,357,7685,
355,1978,8022,0,365,7692,
356,1972,8028,0,367,7696,
357,1967,8033,0,367,7701,
358,1933,8067,0,367,7735,
359,1931,8069,0,368,7736,
360,1925,8075,0,369,7741,
361,1919,8081,0,370,7746,
362,1916,8084,0,192,7927,
363,1916,8084,0,192,7927,
364,1912,8088,0,192,7931,
365,1905,8095,0,194,7936,
366,1901,8099,0,198,7936,
367,1887,8113,0,209,7939,
368,1886,8114,0,209,7940,
369,1860,8140,0,209,7966,
370,1857,8143,0,209,7969,
371,1852,8148,0,210,7973,
372,1847,8153,0,210,7978,
373,1847,8153,0,210,7978,
374,1831,8169,0,210,7994,
375,1830,8170,0,210,7995,
376,1815,8185,0,211,8009,
377,1807,8193,0,212,8016,
378,1799,8201,0,213,8023,
379,1799,8201,0,213,8023,
380,1798,8202,0,213,8024,
381,1797,8203,0,213,8025,
382,1789,8211,0,214,8032,
383,1788,8212,0,215,8032,
384,1787,8213,0,216,8032,
385,1786,8214,0,216,8033,
386,1778,8222,0,216,8041,
387,1774,8226,0,219,8042,
388,1764,8236,0,220,8051,
389,1757,8243,0,220,8058,
390,1757,8243,0,183,8095,
391,1754,8246,0,183,8098,
392,1745,8255,0,184,8106,
393,1743,8257,0,185,8107,
394,1740,8260,0,186,8109,
395,1735,8265,0,187,8113,
396,1730,8270,0,187,8118,
397,1729,8271,0,188,8118,
398,1711,8289,0,200,8124,
399,1690,8310,0,211,8134,
400,1688,8312,0,211,8136,
401,1680,8320,0,211,8144,
402,1659,8341,0,211,8165,
403,1637,8363,0,211,8187,
404,1634,8366,0,212,8189,
405,1625,8375,0,214,8196,
406,1613,8387,0,215,8207,
407,1607,8393,0,220,8208,
408,1599,8401,0,220,8216,
409,1599,8401,0,220,8216,
410,1598,8402,0,220,8217,
411,1594,8406,0,221,8220,
412,1585,8415,0,225,8225,
413,1564,8436,0,227,8244,
414,1563,8437,0,227,8245,
415,1563,8437,0,227,8245,
416,1561,8439,0,227,8247,
417,1561,8439,0,227,8247,
418,1556,8444,0,227,8252,
419,1550,8450,0,227,8258,
420,1548,8452,0,228,8259,
421,1547,8453,0,229,8259,
422,1547,8453,0,229,8259,
423,1541,8459,0,229,8265,
424,1540,8460,0,229,8266,
425,1538,8462,0,230,8267,
426,1517,8483,0,234,8284,
427,1515,8485,0,234,8286,
428,1515,8485,0,234,8286,
429,1508,8492,0,234,8293,
430,1507,8493,0,234,8294,
431,1497,8503,0,235,8303,
432,1496,8504,0,236,8303,
433,1486,8514,0,241,8308,
434,1481,8519,0,244,8310,
435,1474,8526,0,245,8316,
436,1471,8529,0,245,8319,
437,1471,8529,0,245,8319,
438,1469,8531,0,245,8321,
439,1452,8548,0,245,8338,
440,1451,8549,0,246,8338,
441,1447,8553,0,249,8339,
442,1446,8554,0,250,8339,
443,1433,8567,0,253,8349,
444,1433,8567,0,253,8349,
445,1432,8568,0,253,8350,
446,1426,8574,0,254,8355,
447,1425,8575,0,255,8355,
448,1420,8580,0,257,8358,
449,1413,8587,0,257,8365,
450,1411,8589,0,257,8367,
451,1398,8602,0,257,8380,
452,1396,8604,0,257,8382,
453,1391,8609,0,257,8387,
454,1373,8627,0,260,8402,
455,1346,8654,0,261,8428,
456,1345,8655,0,261,8429,
457,1345,8655,0,261,8429,
458,1343,8657,0,261,8431,
459,1337,8663,0,263,8435,
460,1329,8671,0,270,8436,
461,1327,8673,0,271,8437,
462,1324,8676,0,271,8440,
463,1323,8677,0,271,8441,
464,1323,8677,0,271,8441,
465,1320,8680,0,271,8444,
466,1319,8681,0,271,8445,
467,1309,8691,0,272,8454,
468,1307,8693,0,273,8455,
469,1305,8695,0,274,8456,
470,1300,8700,0,277,8458,
471,1299,8701,0,278,8458,
472,1293,8707,0,278,8464,
473,1291,8709,0,278,8466,
474,1287,8713,0,278,8470,
475,1284,8716,0,280,8471,
476,1283,8717,0,281,8471,
477,1273,8727,0,283,8479,
478,1248,8752,0,284,8503,
479,1248,8752,0,284,8503,
480,1247,8753,0,284,8504,
481,1212,8788,0,285,8538,
482,1209,8791,0,287,8539,
483,1206,8794,0,290,8539,
484,1202,8798,0,290,8543,
485,1198,8802,0,290,8547,
486,1195,8805,0,291,8549,
487,1193,8807,0,291,8551,
488,1193,8807,0,291,8551,
489,1191,8809,0,291,8553,
490,1190,8810,0,292,8553,
491,1185,8815,0,293,8557,
492,1184,8816,0,293,8558,
493,1173,8827,0,293,8569,
494,1161,8839,0,295,8579,
495,1157,8843,0,296,8582,
496,1151,8849,0,297,8587,
497,1151,8849,0,297,8587,
498,1150,8850,0,297,8588,
499,1140,8860,0,298,8597,
500,1138,8862,0,299,8598,
501,1133,8867,0,300,8602,
502,1133,8867,0,300,8602,
503,1132,8868,0,300,8603,
504,1132,8868,0,300,8603,
505,1126,8874,0,302,8607,
506,1125,8875,0,303,8607,
507,1121,8879,0,307,8607,
508,1120,8880,0,308,8607,
509,1117,8883,0,308,8610,
510,1110,8890,0,308,8617,
511,1102,8898,0,309,8624,
512,1100,8900,0,310,8625,
513,1099,8901,0,227,8709,
514,1099,8901,0,227,8709,
515,1063,8937,0,227,8745,
516,1056,8944,0,227,8752,
517,1053,8947,0,227,8755,
518,1051,8949,0,229,8755,
519,1050,8950,0,229,8756,
520,1049,8951,0,230,8756,
521,1040,8960,0,230,8765,
522,1033,8967,0,230,8772,
523,1032,8968,0,230,8773,
524,1032,8968,0,230,8773,
525,1032,8968,0,230,8773,
526,1012,8988,0,238,8785,
527,1010,8990,0,239,8786,
528,1006,8994,0,241,8788,
529,1005,8995,0,241,8789,
530,1002,8998,0,241,8792,
531,1001,8999,0,241,8793,
532,1000,9000,0,241,8794,
533,998,9002,0,241,8796,
